q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_4_frames_010_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])	error
1.71296600e+00	2.52062150e+00	2.73848386e-01
1.72294500e+00	3.16409100e+00	2.88357089e-01
1.73292400e+00	3.72583160e+00	2.99396174e-01
1.74290300e+00	2.33895160e+00	2.68116162e-01
1.75288200e+00	2.75093400e+00	2.73613705e-01
1.76286100e+00	2.75700020e+00	2.76180797e-01
1.77283900e+00	2.50403900e+00	2.67154861e-01
1.78281800e+00	2.54523650e+00	2.70846820e-01
1.79279700e+00	1.89972030e+00	2.50932045e-01
1.80277600e+00	2.29222900e+00	2.59462685e-01
1.81275500e+00	2.51267290e+00	2.65668904e-01
1.82273400e+00	2.22539150e+00	2.57117350e-01
1.83271200e+00	2.44369020e+00	7.78277544e+00
1.84269100e+00	1.93906580e+00	7.46404244e+00
1.85267000e+00	2.24242250e+00	7.65991996e+00
1.86264900e+00	2.14271680e+00	7.62536639e+00
1.87262800e+00	2.05973450e+00	2.48169341e-01
1.88260700e+00	1.86975050e+00	2.44609010e-01
1.89258600e+00	1.76032000e+00	2.43516948e-01
1.90256400e+00	1.95222420e+00	7.49406640e+00
1.91254300e+00	2.11026710e+00	7.55874284e+00
1.92252200e+00	1.93633700e+00	2.43155073e-01
1.93250100e+00	1.73947110e+00	2.36798623e-01
1.94248000e+00	2.13604040e+00	2.47700533e-01
1.95245900e+00	1.83865560e+00	2.36654857e-01
1.96243800e+00	2.04695730e+00	2.48078787e-01
1.97241600e+00	1.90360760e+00	2.40375967e-01
1.98239500e+00	1.52917660e+00	2.30147923e-01
1.99237400e+00	1.97898370e+00	2.41428745e-01
2.00235300e+00	1.96322170e+00	2.37746377e-01
2.01233200e+00	1.43850430e+00	2.25183859e-01
2.02231100e+00	1.45342570e+00	2.22771595e-01
2.03229000e+00	1.55802360e+00	2.27141901e-01
2.04226800e+00	1.24444690e+00	2.17697233e-01
2.05224700e+00	1.29598000e+00	2.17765617e-01
2.06222600e+00	1.38406740e+00	2.21388516e-01
2.07220500e+00	1.57881280e+00	2.24476428e-01
2.08218400e+00	1.52998810e+00	2.24400096e-01
2.09216300e+00	1.03966350e+00	2.10418704e-01
2.10214200e+00	1.48528380e+00	2.22363861e-01
2.11212000e+00	1.68035590e+00	2.26482243e-01
2.12209900e+00	1.14599860e+00	2.09698232e-01
2.13207800e+00	1.23407760e+00	2.13495541e-01
2.14205700e+00	1.09268560e+00	6.91349258e+00
2.15203600e+00	9.29162900e-01	6.79689624e+00
2.16201500e+00	1.07625930e+00	2.08732105e-01
2.17199400e+00	1.13626320e+00	7.02054374e+00
2.18197200e+00	1.08645610e+00	6.92390327e+00
2.19195100e+00	1.21479000e+00	7.03810620e+00
2.20193000e+00	1.38214090e+00	7.14446034e+00
2.21190900e+00	1.44454670e+00	2.17079287e-01
2.22188800e+00	8.79465900e-01	1.98925577e-01
2.23186700e+00	1.30849980e+00	2.11402129e-01
2.24184500e+00	9.26681500e-01	1.99249965e-01
2.25182400e+00	1.03995890e+00	2.03673254e-01
2.26180300e+00	1.12071480e+00	2.03718528e-01
2.27178200e+00	9.36448700e-01	1.98367746e-01
2.28176100e+00	1.02198370e+00	2.00839767e-01
2.29174000e+00	1.15153940e+00	2.02505380e-01
2.30171900e+00	9.00078200e-01	1.95394639e-01
2.31169700e+00	1.21454720e+00	2.04276405e-01
2.32167600e+00	1.28593890e+00	2.06726935e-01
2.33165500e+00	1.15337770e+00	2.02695101e-01
2.34163400e+00	1.08031630e+00	1.98502367e-01
2.35161300e+00	9.72616000e-01	1.97531844e-01
2.36159200e+00	1.00142640e+00	1.97681010e-01
2.37157100e+00	8.93740700e-01	1.94289802e-01
2.38154900e+00	1.00352240e+00	1.98077705e-01
2.39152800e+00	9.18871200e-01	1.91493225e-01
2.40150700e+00	8.42765500e-01	1.91099627e-01
2.41148600e+00	1.12996670e+00	1.99091083e-01
2.42146500e+00	4.47441200e-01	1.78838345e-01
2.43144400e+00	8.11181300e-01	1.89562689e-01
