q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_3_000_350.dat_00001_[]-Lyso_Buffer_000_350.dat_00001_[])	error
4.10789100e+00	-6.43810000e-01	8.28333336e-02
4.11787000e+00	-6.25151000e-01	8.33605204e-02
4.12784900e+00	-5.17051000e-01	8.29111120e-02
4.13782800e+00	-7.62916000e-01	8.17613151e-02
4.14780700e+00	-6.75431000e-01	8.37583416e-02
4.15778500e+00	-5.72130000e-01	8.13713020e-02
4.16776400e+00	-5.89349000e-01	8.28140532e-02
4.17774300e+00	-5.06805000e-01	7.77733967e+00
4.18772200e+00	-5.02151000e-01	7.74328103e+00
4.19770100e+00	-5.68071000e-01	7.73945271e+00
4.20768000e+00	-6.28491000e-01	8.12500895e-02
4.21765800e+00	-6.23662000e-01	8.22008996e-02
4.22763700e+00	-6.75707000e-01	8.05979672e-02
4.23761600e+00	-4.14884000e-01	8.20700393e-02
4.24759500e+00	-7.34919000e-01	5.95164451e+00
4.25757400e+00	-6.10929000e-01	5.81994773e+00
4.26755300e+00	-4.93410000e-01	7.83758944e+00
4.27753200e+00	-6.50197000e-01	7.78970532e+00
4.28751000e+00	-8.17879000e-01	7.79982475e+00
4.29748900e+00	-7.30628000e-01	7.78812418e+00
4.30746800e+00	-6.08138000e-01	7.83652611e+00
4.31744700e+00	-8.04141000e-01	5.99300096e+00
4.32742600e+00	-7.20968000e-01	5.95909349e+00
4.33740500e+00	-6.73525000e-01	8.08859089e-02
4.34738400e+00	-5.55383000e-01	7.95435494e-02
4.35736200e+00	-7.01019000e-01	8.11038080e-02
4.36734100e+00	-7.16352000e-01	8.04755702e-02
4.37732000e+00	-6.96727000e-01	7.96071096e-02
4.38729900e+00	-7.66410000e-01	8.02431797e-02
4.39727800e+00	-7.72406000e-01	7.97889300e-02
4.40725700e+00	-6.53006000e-01	7.99480850e-02
4.41723600e+00	-6.85968000e-01	7.81594744e-02
4.42721400e+00	-6.85808000e-01	8.11973359e-02
4.43719300e+00	-5.88287000e-01	8.03430168e-02
4.44717200e+00	-7.23501000e-01	7.96109371e-02
4.45715100e+00	-6.62771000e-01	7.75195015e+00
4.46713000e+00	-6.62485000e-01	7.74814020e+00
4.47710900e+00	-7.52349000e-01	8.05276829e-02
4.48708800e+00	-7.36514000e-01	7.90420863e-02
4.49706600e+00	-7.27628000e-01	7.97742032e-02
4.50704500e+00	-5.14006000e-01	8.10732824e-02
4.51702400e+00	-6.08892000e-01	7.86635422e-02
4.52700300e+00	-5.62050000e-01	8.05669339e-02
4.53698200e+00	-6.67079000e-01	7.84259202e+00
4.54696100e+00	-7.96827000e-01	7.70217934e+00
4.55694000e+00	-7.75074000e-01	7.79040672e+00
4.56691800e+00	-7.30000000e-01	7.89637375e-02
4.57689700e+00	-5.94358000e-01	7.81526929e-02
4.58687600e+00	-7.34951000e-01	7.89642548e-02
4.59685500e+00	-6.34665000e-01	7.90223050e-02
4.60683400e+00	-7.72159000e-01	7.90168239e-02
4.61681300e+00	-6.51321000e-01	7.91232378e-02
4.62679100e+00	-7.27236000e-01	7.82728183e-02
4.63677000e+00	-7.16461000e-01	7.77679169e-02
4.64674900e+00	-7.77300000e-01	7.77186663e-02
4.65672800e+00	-8.00881000e-01	7.87614544e-02
4.66670700e+00	-7.42314000e-01	7.81889014e-02
4.67668600e+00	-6.84172000e-01	7.81322916e-02
4.68666500e+00	-8.05144000e-01	7.76778309e-02
4.69664300e+00	-7.78200000e-01	7.87056409e-02
4.70662200e+00	-7.12479000e-01	7.83141175e+00
4.71660100e+00	-8.13388000e-01	7.81257443e+00
4.72658000e+00	-6.18991000e-01	8.01196854e-02
4.73655900e+00	-6.99856000e-01	7.93566349e-02
4.74653800e+00	-7.36976000e-01	8.12863330e-02
4.75651700e+00	-7.60910000e-01	8.07985995e-02
4.76649500e+00	-5.67892000e-01	8.30626435e-02
4.77647400e+00	-5.76267000e-01	8.15815848e-02
4.78645300e+00	-6.90093000e-01	8.21916355e-02
4.79643200e+00	-5.53348000e-01	8.10534917e-02
4.80641100e+00	-7.70968000e-01	8.26683535e-02
4.81639000e+00	-7.27522000e-01	7.86951331e+00
4.82636900e+00	-7.30185000e-01	7.75244859e+00
4.83634700e+00	-6.98219000e-01	7.85953000e+00
4.84632600e+00	-7.43431000e-01	7.88127498e+00
