q[nm-1]	I(q)[sr-1]_mult(Lyso_Lyso_3_000_350.dat_00001_[]*1.5000)	error
2.16201500e+00	5.17522350e+00	1.33548075e-01
2.17199400e+00	4.93490400e+00	7.92447300e+00
2.18197200e+00	5.20710000e+00	8.14008450e+00
2.19195100e+00	4.95645150e+00	7.94175300e+00
2.20193000e+00	5.24320650e+00	8.16825750e+00
2.21190900e+00	4.96759650e+00	1.26651480e-01
2.22188800e+00	4.99303350e+00	1.25537610e-01
2.23186700e+00	4.85749200e+00	1.26200490e-01
2.24184500e+00	5.01890400e+00	1.26429945e-01
2.25182400e+00	4.89326850e+00	1.29120765e-01
2.26180300e+00	4.67987400e+00	1.22367855e-01
2.27178200e+00	4.83490800e+00	1.23991845e-01
2.28176100e+00	4.79577000e+00	1.25808045e-01
2.29174000e+00	4.55210100e+00	1.16864595e-01
2.30171900e+00	4.71382800e+00	1.21111425e-01
2.31169700e+00	4.74357300e+00	1.22335710e-01
2.32167600e+00	4.73824650e+00	1.22299230e-01
2.33165500e+00	4.68372750e+00	1.18169340e-01
2.34163400e+00	4.74927900e+00	1.20083445e-01
2.35161300e+00	4.57666200e+00	1.17338235e-01
2.36159200e+00	4.60839000e+00	1.19627805e-01
2.37157100e+00	4.69850700e+00	1.22597775e-01
2.38154900e+00	4.78751550e+00	1.19275080e-01
2.39152800e+00	4.64198100e+00	1.16017905e-01
2.40150700e+00	4.40295450e+00	1.15162245e-01
2.41148600e+00	4.77878700e+00	1.18894500e-01
2.42146500e+00	4.66236450e+00	1.19813865e-01
2.43144400e+00	4.68151350e+00	1.17398940e-01
2.44142300e+00	4.56493200e+00	1.17028500e-01
2.45140100e+00	4.48583400e+00	1.17118980e-01
2.46138000e+00	4.62946500e+00	1.15787805e-01
2.47135900e+00	4.65685350e+00	1.18570650e-01
2.48133800e+00	4.43518800e+00	1.15111590e-01
2.49131700e+00	4.84572600e+00	1.21935885e-01
2.50129600e+00	4.52415900e+00	1.15662150e-01
2.51127500e+00	4.54718850e+00	1.14812925e-01
2.52125300e+00	4.67471550e+00	7.71273750e+00
2.53123200e+00	4.74090150e+00	7.76714550e+00
2.54121100e+00	4.48812600e+00	1.15111755e-01
2.55119000e+00	4.62996450e+00	1.13602485e-01
2.56116900e+00	4.48988700e+00	1.10243625e-01
2.57114800e+00	4.74550050e+00	1.17983835e-01
2.58112700e+00	4.74937650e+00	1.15278585e-01
2.59110500e+00	4.46585100e+00	1.10434770e-01
2.60108400e+00	4.53814950e+00	1.15574370e-01
2.61106300e+00	4.53227400e+00	1.12115610e-01
2.62104200e+00	4.60312500e+00	1.15080825e-01
2.63102100e+00	4.45876950e+00	1.12547055e-01
2.64100000e+00	4.70087550e+00	1.16419455e-01
2.65097800e+00	4.49973600e+00	1.11292575e-01
2.66095700e+00	4.57105200e+00	1.10406450e-01
2.67093600e+00	4.63945500e+00	1.13324790e-01
2.68091500e+00	4.43950200e+00	1.09065015e-01
2.69089400e+00	4.49657850e+00	1.16964405e-01
2.70087300e+00	4.60410600e+00	1.11587940e-01
2.71085200e+00	4.53178500e+00	7.59391350e+00
2.72083000e+00	4.45240650e+00	7.52711250e+00
2.73080900e+00	4.74251400e+00	7.76846550e+00
2.74078800e+00	4.69179150e+00	1.15746225e-01
2.75076700e+00	4.56321300e+00	7.62019950e+00
2.76074600e+00	4.49389350e+00	7.56209850e+00
2.77072500e+00	4.72880250e+00	1.11245805e-01
2.78070400e+00	4.48921350e+00	1.07477160e-01
2.79068200e+00	4.55368950e+00	1.12315710e-01
2.80066100e+00	4.49904900e+00	1.09343160e-01
2.81064000e+00	4.55950650e+00	1.09526190e-01
2.82061900e+00	4.43231550e+00	1.10233200e-01
2.83059800e+00	4.49198100e+00	1.05628305e-01
2.84057700e+00	4.47903000e+00	1.09405545e-01
2.85055600e+00	4.61788350e+00	1.09023045e-01
2.86053400e+00	4.54339650e+00	1.07482365e-01
2.87051300e+00	4.69386450e+00	7.72851900e+00
2.88049200e+00	4.29600150e+00	7.39372350e+00
2.89047100e+00	4.37114550e+00	7.45810650e+00
2.90045000e+00	4.45315800e+00	7.52774700e+00
2.91042900e+00	4.48592700e+00	7.55539350e+00
2.92040800e+00	4.43088750e+00	1.03957320e-01
2.93038600e+00	4.55909100e+00	1.08120495e-01
2.94036500e+00	4.37815350e+00	1.05979110e-01
2.95034400e+00	4.60540050e+00	1.06509285e-01
2.96032300e+00	4.58767350e+00	1.08297765e-01
2.97030200e+00	4.57852350e+00	1.06177110e-01
2.98028100e+00	4.34638950e+00	1.05204765e-01
2.99026000e+00	4.58814150e+00	1.08527415e-01
3.00023800e+00	4.43429100e+00	1.03841250e-01
3.01021700e+00	4.44810600e+00	1.03974495e-01
3.02019600e+00	4.56636150e+00	1.07032605e-01
3.03017500e+00	4.47598800e+00	1.05870495e-01
3.04015400e+00	4.49048850e+00	7.55923350e+00
3.05013300e+00	4.55853900e+00	7.61629500e+00
3.06011100e+00	4.54594050e+00	1.07526810e-01
3.07009000e+00	4.67541000e+00	7.71331050e+00
3.08006900e+00	4.54381200e+00	7.60398300e+00
3.09004800e+00	4.58349150e+00	1.05553695e-01
3.10002700e+00	4.39791750e+00	1.01818860e-01
3.11000600e+00	4.40148150e+00	1.03542705e-01
3.11998500e+00	4.61359350e+00	1.04556675e-01
3.12996300e+00	4.57816050e+00	1.02975120e-01
3.13994200e+00	4.61345250e+00	1.03460925e-01
3.14992100e+00	4.45498200e+00	1.01555040e-01
3.15990000e+00	4.65341400e+00	1.06894395e-01
3.16987900e+00	4.42471350e+00	7.50366750e+00
3.17985800e+00	4.45379250e+00	7.52828400e+00
3.18983700e+00	4.55240100e+00	1.02620985e-01
3.19981500e+00	4.41883350e+00	1.00256805e-01
3.20979400e+00	4.56593400e+00	1.03002945e-01
3.21977300e+00	4.39491150e+00	9.93699900e-02
3.22975200e+00	4.55350500e+00	1.04135715e-01
3.23973100e+00	4.53778350e+00	1.00223715e-01
3.24971000e+00	4.49667300e+00	1.02708180e-01
3.25968900e+00	4.60495350e+00	1.02854220e-01
3.26966700e+00	4.41898350e+00	1.02205500e-01
3.27964600e+00	4.69886400e+00	1.04833155e-01
3.28962500e+00	4.46451900e+00	1.01457090e-01
3.29960400e+00	4.49135400e+00	1.03294770e-01
3.30958300e+00	4.72321950e+00	1.05092940e-01
3.31956200e+00	4.54387650e+00	1.02309105e-01
3.32954100e+00	4.39968000e+00	9.89485950e-02
3.33951900e+00	4.65850050e+00	1.02448395e-01
3.34949800e+00	4.52297550e+00	1.00460010e-01
3.35947700e+00	4.40372400e+00	7.48584900e+00
3.36945600e+00	4.39655100e+00	7.47975000e+00
3.37943500e+00	4.42414650e+00	7.50318600e+00
3.38941400e+00	4.48636500e+00	7.55576250e+00
3.39939200e+00	4.53989400e+00	9.99773850e-02
3.40937100e+00	4.42217400e+00	1.00070025e-01
3.41935000e+00	4.53553350e+00	7.59705300e+00
3.42932900e+00	4.40771850e+00	7.48924350e+00
3.43930800e+00	4.56038550e+00	7.61783700e+00
3.44928700e+00	4.60831950e+00	1.00018725e-01
3.45926600e+00	4.60037250e+00	9.85370700e-02
3.46924400e+00	4.78162650e+00	1.00064850e-01
3.47922300e+00	4.68153450e+00	7.71836100e+00
3.48920200e+00	4.63977450e+00	7.68385950e+00
3.49918100e+00	4.67493300e+00	7.71291750e+00
3.50916000e+00	4.47139200e+00	7.54314300e+00
3.51913900e+00	4.51095450e+00	9.91521600e-02
3.52911800e+00	4.36320300e+00	9.58469250e-02
3.53909600e+00	4.63489350e+00	9.94166100e-02
3.54907500e+00	4.53930750e+00	9.81629400e-02
3.55905400e+00	4.70829450e+00	9.68963700e-02
3.56903300e+00	4.74728400e+00	9.97367100e-02
3.57901200e+00	4.71028800e+00	9.84889800e-02
3.58899100e+00	4.56407700e+00	9.89214000e-02
3.59897000e+00	4.53260700e+00	9.78929700e-02
3.60894800e+00	4.68234000e+00	9.86180550e-02
3.61892700e+00	4.51932000e+00	9.87964800e-02
3.62890600e+00	4.61464950e+00	9.76192500e-02
3.63888500e+00	4.67935950e+00	9.83215950e-02
3.64886400e+00	4.70674950e+00	9.87763050e-02
3.65884300e+00	4.52240850e+00	9.75706500e-02
3.66882200e+00	4.51705200e+00	7.58155950e+00
3.67880000e+00	4.52917800e+00	7.59172950e+00
3.68877900e+00	4.53814050e+00	9.71070000e-02
3.69875800e+00	4.58790000e+00	9.59874900e-02
3.70873700e+00	4.47948900e+00	9.63247800e-02
3.71871600e+00	4.60392000e+00	9.72200700e-02
3.72869500e+00	4.54511850e+00	9.62119050e-02
3.73867400e+00	4.55674650e+00	9.75078750e-02
3.74865200e+00	4.52982300e+00	9.69307050e-02
3.75863100e+00	4.44871950e+00	7.52399400e+00
3.76861000e+00	4.57470150e+00	7.62978600e+00
3.77858900e+00	4.45028250e+00	7.52531700e+00
3.78856800e+00	4.51404750e+00	9.72093450e-02
3.79854700e+00	4.60537500e+00	9.40647600e-02
3.80852500e+00	4.50365550e+00	7.57030800e+00
3.81850400e+00	4.56172500e+00	7.61895600e+00
3.82848300e+00	4.50365550e+00	9.48504900e-02
3.83846200e+00	4.51082250e+00	7.57632900e+00
3.84844100e+00	4.37994600e+00	7.46561100e+00
3.85842000e+00	4.62606000e+00	9.61908300e-02
3.86839900e+00	4.66360650e+00	9.54835950e-02
3.87837700e+00	4.50726300e+00	9.60295200e-02
3.88835600e+00	4.57403400e+00	9.59095350e-02
3.89833500e+00	4.39259550e+00	9.01975350e-02
3.90831400e+00	4.45181100e+00	9.29901450e-02
3.91829300e+00	4.58487150e+00	9.37640550e-02
3.92827200e+00	4.53374850e+00	9.49088100e-02
3.93825100e+00	4.54495800e+00	9.26077650e-02
3.94822900e+00	4.52278500e+00	9.18289950e-02
3.95820800e+00	4.42081650e+00	9.32318100e-02
3.96818700e+00	4.43277450e+00	9.24460650e-02
3.97816600e+00	4.61428950e+00	9.32325150e-02
3.98814500e+00	4.32482850e+00	7.41848850e+00
3.99812400e+00	4.57566900e+00	7.63059300e+00
4.00810300e+00	4.69461450e+00	9.38733900e-02
4.01808100e+00	4.37047350e+00	9.03496500e-02
4.02806000e+00	4.55365350e+00	9.20904600e-02
4.03803900e+00	4.51596900e+00	9.24735750e-02
4.04801800e+00	4.55504700e+00	9.13209750e-02
4.05799700e+00	4.61354850e+00	7.66211250e+00
4.06797600e+00	4.58704950e+00	7.64007600e+00
4.07795500e+00	4.51732350e+00	7.58178750e+00
4.08793300e+00	4.44788100e+00	7.52328450e+00
4.09791200e+00	4.55544300e+00	9.40171350e-02
4.10789100e+00	4.57303350e+00	9.07228800e-02
4.11787000e+00	4.44259800e+00	9.20246100e-02
4.12784900e+00	4.61492850e+00	9.18101700e-02
4.13782800e+00	4.32635850e+00	8.91966150e-02
4.14780700e+00	4.47017850e+00	9.23157150e-02
4.15778500e+00	4.52848800e+00	8.96872950e-02
4.16776400e+00	4.52367000e+00	9.12986400e-02
4.17774300e+00	4.61285700e+00	7.66153800e+00
4.18772200e+00	4.57272300e+00	7.62813600e+00
4.19770100e+00	4.51530600e+00	7.58009400e+00
4.20768000e+00	4.51831500e+00	8.95687200e-02
4.21765800e+00	4.52408250e+00	9.03582600e-02
4.22763700e+00	4.39092450e+00	8.77989900e-02
4.23761600e+00	4.62486750e+00	9.13966050e-02
4.24759500e+00	4.43002800e+00	8.83577100e-02
4.25757400e+00	4.37386950e+00	8.72576100e-02
4.26755300e+00	4.70155050e+00	7.73484300e+00
4.27753200e+00	4.51462050e+00	7.57951800e+00
4.28751000e+00	4.39415700e+00	7.47771300e+00
4.29748900e+00	4.44852000e+00	7.52382600e+00
4.30746800e+00	4.60879500e+00	7.65816450e+00
4.31744700e+00	4.40335200e+00	8.85802500e-02
4.32742600e+00	4.46480100e+00	8.91658200e-02
4.33740500e+00	4.46125800e+00	8.87981700e-02
4.34738400e+00	4.50927000e+00	8.75888400e-02
4.35736200e+00	4.44759750e+00	8.93022150e-02
4.36734100e+00	4.48483950e+00	8.83367850e-02
4.37732000e+00	4.37863050e+00	8.65547250e-02
4.38729900e+00	4.41672450e+00	8.68510200e-02
4.39727800e+00	4.42183050e+00	8.65009200e-02
4.40725700e+00	4.43061600e+00	8.79027900e-02
4.41723600e+00	4.46608500e+00	8.52257700e-02
4.42721400e+00	4.52062950e+00	8.88265500e-02
4.43719300e+00	4.59237000e+00	8.86843650e-02
4.44717200e+00	4.40850000e+00	8.67795300e-02
4.45715100e+00	4.45594050e+00	7.53009900e+00
4.46713000e+00	4.45127100e+00	7.52615250e+00
4.47710900e+00	4.48564800e+00	8.80464450e-02
4.48708800e+00	4.38978600e+00	8.68464000e-02
4.49706600e+00	4.49975100e+00	8.73112350e-02
4.50704500e+00	4.67995050e+00	8.99734200e-02
4.51702400e+00	4.51509900e+00	8.69605200e-02
4.52700300e+00	4.66245750e+00	8.91361500e-02
4.53698200e+00	4.56973950e+00	7.62564750e+00
4.54696100e+00	4.28538450e+00	7.38458100e+00
4.55694000e+00	4.41607050e+00	7.49633400e+00
4.56691800e+00	4.49220150e+00	8.56090500e-02
4.57689700e+00	4.42181100e+00	8.54553900e-02
4.58687600e+00	4.48260150e+00	8.66173200e-02
4.59685500e+00	4.55802900e+00	8.65557450e-02
4.60683400e+00	4.45133550e+00	8.65208700e-02
4.61681300e+00	4.55725200e+00	8.81250750e-02
4.62679100e+00	4.43722350e+00	8.56964100e-02
4.63677000e+00	4.39595100e+00	8.57765100e-02
4.64674900e+00	4.39625250e+00	8.43096900e-02
4.65672800e+00	4.41387450e+00	8.63702250e-02
4.66670700e+00	4.40819850e+00	8.53021950e-02
4.67668600e+00	4.53004650e+00	8.63592450e-02
4.68666500e+00	4.42039050e+00	8.37485550e-02
4.69664300e+00	4.47784950e+00	8.59203300e-02
4.70662200e+00	4.51905000e+00	7.58323500e+00
4.71660100e+00	4.41424200e+00	7.49478300e+00
4.72658000e+00	4.57044600e+00	8.82773850e-02
4.73655900e+00	4.40612850e+00	8.67553950e-02
4.74653800e+00	4.51593000e+00	8.94912000e-02
4.75651700e+00	4.46467950e+00	8.75764500e-02
4.76649500e+00	4.60355400e+00	9.20796900e-02
4.77647400e+00	4.57712550e+00	9.02257200e-02
4.78645300e+00	4.50703950e+00	8.95514700e-02
4.79643200e+00	4.57601100e+00	8.89725450e-02
4.80641100e+00	4.55157300e+00	8.99985600e-02
4.81639000e+00	4.55668200e+00	7.61474550e+00
4.82636900e+00	4.40289150e+00	7.48514100e+00
4.83634700e+00	4.56699750e+00	7.62335850e+00
4.84632600e+00	4.55937600e+00	7.61699550e+00
4.85630500e+00	4.59124650e+00	9.22330050e-02
4.86628400e+00	4.64310000e+00	9.12954000e-02
4.87626300e+00	4.67240400e+00	9.20044350e-02
4.88624200e+00	4.55792550e+00	9.44823900e-02
4.89622100e+00	4.44240450e+00	9.39985650e-02
4.90619900e+00	4.51971750e+00	9.60880950e-02
4.91617800e+00	4.40516100e+00	9.47495250e-02
4.92615700e+00	4.63764600e+00	9.70910250e-02
4.93613600e+00	4.48632600e+00	9.79576350e-02
4.94611500e+00	4.49342850e+00	9.56760750e-02
4.95609400e+00	4.39070100e+00	9.55128900e-02
