q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_3_000_350_mult.dat_00001_[mult(Lyso_Lyso_3_000_350.dat_00001_[]*1.5000)]-Lyso_Buffer_000_350.dat_00001_[])	error
2.87051300e+00	9.91002500e-01	9.76159488e+00
2.88049200e+00	7.83209500e-01	9.40216014e+00
2.89047100e+00	8.85341500e-01	9.43915597e+00
2.90045000e+00	8.36939000e-01	9.56000364e+00
2.91042900e+00	8.79452000e-01	9.57690399e+00
2.92040800e+00	9.65630500e-01	1.22081158e-01
2.93038600e+00	1.05378900e+00	1.25808558e-01
2.94036500e+00	7.00506500e-01	1.24919201e-01
2.95034400e+00	1.04317950e+00	1.24639452e-01
2.96032300e+00	1.00770350e+00	1.26137111e-01
2.97030200e+00	1.22411550e+00	1.23327411e-01
2.98028100e+00	7.01642500e-01	1.23866437e-01
2.99026000e+00	1.13047350e+00	1.25900099e-01
3.00023800e+00	8.55687000e-01	1.21827559e-01
3.01021700e+00	9.49243000e-01	1.22404898e-01
3.02019600e+00	9.33134500e-01	1.25321236e-01
3.03017500e+00	9.76974000e-01	1.23516448e-01
3.04015400e+00	8.95919500e-01	9.57396454e+00
3.05013300e+00	1.17940800e+00	9.51093473e+00
3.06011100e+00	1.03870250e+00	5.80445505e+00
3.07009000e+00	1.03852900e+00	9.71700924e+00
3.08006900e+00	1.01176100e+00	9.57804709e+00
3.09004800e+00	1.02598150e+00	1.23011660e-01
3.10002700e+00	7.63679500e-01	1.20269381e-01
3.11000600e+00	7.56963500e-01	1.22072401e-01
3.11998500e+00	9.66619500e-01	1.22527180e-01
3.12996300e+00	1.00286450e+00	1.21145326e-01
3.13994200e+00	1.05524750e+00	1.21654526e-01
3.14992100e+00	8.21084000e-01	1.19841363e-01
3.15990000e+00	1.06865900e+00	1.24794495e-01
3.16987900e+00	7.46986500e-01	9.57195765e+00
3.17985800e+00	9.38394500e-01	9.50965643e+00
3.18983700e+00	1.01416000e+00	1.20457583e-01
3.19981500e+00	7.99666500e-01	1.18116957e-01
3.20979400e+00	1.01334400e+00	1.20441626e-01
3.21977300e+00	7.56887500e-01	1.17171390e-01
3.22975200e+00	9.84167000e-01	1.21718251e-01
3.23973100e+00	1.02954850e+00	1.17899877e-01
3.24971000e+00	1.04749400e+00	1.19867624e-01
3.25968900e+00	9.65427500e-01	1.20579792e-01
3.26966700e+00	9.23348500e-01	1.19088706e-01
3.27964600e+00	1.19217300e+00	1.21951650e-01
3.28962500e+00	8.50385000e-01	1.18746592e-01
3.29960400e+00	9.37457000e-01	1.20228717e-01
3.30958300e+00	1.13798450e+00	1.21919165e-01
3.31956200e+00	9.96823500e-01	1.19721455e-01
3.32954100e+00	9.07295000e-01	1.16219566e-01
3.33951900e+00	1.15234750e+00	1.18583462e-01
3.34949800e+00	9.51364500e-01	1.17634894e-01
3.35947700e+00	8.50770000e-01	9.49510911e+00
3.36945600e+00	7.79005000e-01	9.52292478e+00
3.37943500e+00	9.41539500e-01	9.47319427e+00
3.38941400e+00	9.88671000e-01	9.52250175e+00
3.39939200e+00	1.01723300e+00	1.17111596e-01
3.40937100e+00	8.44686000e-01	1.17700019e-01
3.41935000e+00	1.06130950e+00	9.54349653e+00
3.42932900e+00	7.88366500e-01	9.53129304e+00
3.43930800e+00	1.02579550e+00	9.59032017e+00
3.44928700e+00	1.02253450e+00	1.17222424e-01
3.45926600e+00	9.86874500e-01	1.15950925e-01
3.46924400e+00	1.23704750e+00	1.16403400e-01
3.47922300e+00	1.05298750e+00	9.71690151e+00
3.48920200e+00	1.03637750e+00	9.67704790e+00
3.49918100e+00	1.05903200e+00	9.70632406e+00
3.50916000e+00	9.42899000e-01	9.52802481e+00
3.51913900e+00	9.16668500e-01	1.16034908e-01
3.52911800e+00	7.78350000e-01	1.12993688e-01
3.53909600e+00	1.16276250e+00	1.15793097e-01
3.54907500e+00	9.47503500e-01	1.15335767e-01
