q[nm-1]	I(q)[sr-1]_mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)	error
2.85055600e+00	2.52867160e+00	3.97478340e+00
2.86053400e+00	2.50696950e+00	3.95769010e+00
2.87051300e+00	2.49508280e+00	3.94829610e+00
2.88049200e+00	2.45563500e+00	3.91695990e+00
2.89047100e+00	2.48756830e+00	3.94234610e+00
2.90045000e+00	2.46718570e+00	3.92616140e+00
2.91042900e+00	2.46466220e+00	3.92415310e+00
2.92040800e+00	2.47167130e+00	2.27500490e-02
2.93038600e+00	2.44234410e+00	2.25523340e-02
2.94036500e+00	2.45900760e+00	2.26125270e-02
2.95034400e+00	2.49163740e+00	2.25010800e-02
2.96032300e+00	2.46139110e+00	2.25847580e-02
2.97030200e+00	2.48699640e+00	2.24929180e-02
2.98028100e+00	2.47839760e+00	2.26689050e-02
2.99026000e+00	2.47157330e+00	2.26541420e-02
3.00023800e+00	2.46325450e+00	2.22053090e-02
3.01021700e+00	2.50288500e+00	2.27353420e-02
3.02019600e+00	2.48594570e+00	3.94106020e+00
3.03017500e+00	2.46303890e+00	3.92286090e+00
3.04015400e+00	2.49020450e+00	3.94443420e+00
3.05013300e+00	2.48231340e+00	3.93817970e+00
3.06011100e+00	2.45730450e+00	3.91829130e+00
3.07009000e+00	2.49545730e+00	3.94859220e+00
3.08006900e+00	2.46628900e+00	3.92544810e+00
3.09004800e+00	2.46471890e+00	3.92419790e+00
3.10002700e+00	2.45235690e+00	3.91434470e+00
3.11000600e+00	2.50374180e+00	3.95514140e+00
3.11998500e+00	2.49279240e+00	2.20031910e-02
3.12996300e+00	2.50624220e+00	2.21898810e-02
3.13994200e+00	2.47147180e+00	2.18459500e-02
3.14992100e+00	2.44232800e+00	2.20034780e-02
3.15990000e+00	2.46126020e+00	2.22677350e-02
3.16987900e+00	2.46508640e+00	3.92449050e+00
3.17985800e+00	2.49133290e+00	3.94532810e+00
3.18983700e+00	2.45862400e+00	2.18136520e-02
3.19981500e+00	2.51327510e+00	2.17956690e-02
3.20979400e+00	2.52485730e+00	2.20632440e-02
3.21977300e+00	2.47652090e+00	2.15725440e-02
3.22975200e+00	2.48867150e+00	2.19145500e-02
3.23973100e+00	2.45359310e+00	2.15068140e-02
3.24971000e+00	2.50314540e+00	2.16933010e-02
3.25968900e+00	2.44309870e+00	2.14967550e-02
3.26966700e+00	2.48814230e+00	2.16118630e-02
3.27964600e+00	2.46772260e+00	2.16511540e-02
3.28962500e+00	2.46497510e+00	2.12913470e-02
3.29960400e+00	2.47718100e+00	2.14187400e-02
3.30958300e+00	2.50792570e+00	2.16264510e-02
3.31956200e+00	2.45595140e+00	2.12975840e-02
3.32954100e+00	2.45888930e+00	2.14655770e-02
3.33951900e+00	2.44972210e+00	2.08845350e-02
3.34949800e+00	2.48654000e+00	2.13928680e-02
3.35947700e+00	2.46896300e+00	3.92757540e+00
3.36945600e+00	2.44385330e+00	3.90755260e+00
3.37943500e+00	2.46127910e+00	3.92145880e+00
3.38941400e+00	2.46788710e+00	3.92671930e+00
3.39939200e+00	2.49019470e+00	2.14279940e-02
3.40937100e+00	2.46702400e+00	2.11524740e-02
3.41935000e+00	2.52176050e+00	3.96934790e+00
3.42932900e+00	2.47725870e+00	3.93416800e+00
3.43930800e+00	2.46642970e+00	3.92556010e+00
3.44928700e+00	2.50888260e+00	2.13248770e-02
3.45926600e+00	2.48422370e+00	2.10835870e-02
3.46924400e+00	2.45486220e+00	2.07781490e-02
3.47922300e+00	2.49201190e+00	3.94586500e+00
3.48920200e+00	2.50877410e+00	3.95911460e+00
3.49918100e+00	2.49364920e+00	3.94716140e+00
3.50916000e+00	2.52255500e+00	3.96997300e+00
3.51913900e+00	2.49024440e+00	2.08179860e-02
3.52911800e+00	2.47282420e+00	2.07083590e-02
3.53909600e+00	2.46174110e+00	2.08429130e-02
3.54907500e+00	2.46008000e+00	2.07049990e-02
3.55905400e+00	2.49711350e+00	2.05203250e-02
3.56903300e+00	2.49740890e+00	2.10346570e-02
3.57901200e+00	2.47117640e+00	2.05364110e-02
3.58899100e+00	2.49360860e+00	2.07007430e-02
3.59897000e+00	2.48651970e+00	2.06375260e-02
3.60894800e+00	2.48076080e+00	2.07495190e-02
3.61892700e+00	2.50988710e+00	2.09166510e-02
3.62890600e+00	2.45003080e+00	2.01595590e-02
3.63888500e+00	2.48626280e+00	2.07134830e-02
3.64886400e+00	2.48010630e+00	2.03239680e-02
3.65884300e+00	2.46172920e+00	2.05555560e-02
3.66882200e+00	2.48718330e+00	3.94204090e+00
3.67880000e+00	2.47317070e+00	3.93092070e+00
3.68877900e+00	2.48075590e+00	2.05638860e-02
3.69875800e+00	2.50097750e+00	2.04319010e-02
3.70873700e+00	2.50017180e+00	2.03971530e-02
3.71871600e+00	2.51052830e+00	2.04724940e-02
3.72869500e+00	2.48628030e+00	2.02910400e-02
3.73867400e+00	2.51634880e+00	2.05624230e-02
3.74865200e+00	2.52421260e+00	2.03811930e-02
3.75863100e+00	2.48587570e+00	3.94100490e+00
3.76861000e+00	2.50467700e+00	3.95587990e+00
3.77858900e+00	2.49637220e+00	3.94931600e+00
3.78856800e+00	2.50785360e+00	2.05191700e-02
3.79854700e+00	2.47957220e+00	1.98629760e-02
3.80852500e+00	2.48022950e+00	3.93652630e+00
3.81850400e+00	2.49496800e+00	3.94820510e+00
3.82848300e+00	2.48855320e+00	1.99635100e-02
3.83846200e+00	2.43910170e+00	3.90375160e+00
3.84844100e+00	2.50428500e+00	3.95556980e+00
3.85842000e+00	2.50982620e+00	2.00497080e-02
3.86839900e+00	2.51493760e+00	1.99866730e-02
3.87837700e+00	2.50911780e+00	2.00382980e-02
3.88835600e+00	2.49709110e+00	1.99683540e-02
3.89833500e+00	2.48994130e+00	3.94422630e+00
3.90831400e+00	2.49883760e+00	3.95126620e+00
3.91829300e+00	2.50589570e+00	1.98985080e-02
3.92827200e+00	2.52644420e+00	1.99289090e-02
3.93825100e+00	2.48828300e+00	1.96829010e-02
3.94822900e+00	2.51139490e+00	1.97384320e-02
3.95820800e+00	2.48773350e+00	1.98490320e-02
3.96818700e+00	2.48071250e+00	1.96923440e-02
3.97816600e+00	2.50166420e+00	1.98337860e-02
3.98814500e+00	2.50492550e+00	3.95607660e+00
3.99812400e+00	2.52036540e+00	3.96824960e+00
4.00810300e+00	2.49962230e+00	1.96122220e-02
4.01808100e+00	2.55417260e+00	1.99079370e-02
4.02806000e+00	2.52282170e+00	1.98360260e-02
4.03803900e+00	2.54032520e+00	1.97761410e-02
4.04801800e+00	2.56144070e+00	1.98980530e-02
4.05799700e+00	2.52289030e+00	3.97023690e+00
4.06797600e+00	2.56551190e+00	4.00363250e+00
4.07795500e+00	2.51018040e+00	3.96022340e+00
4.08793300e+00	2.54843680e+00	3.99028770e+00
4.09791200e+00	2.49176830e+00	1.94578020e-02
4.10789100e+00	2.54340730e+00	1.94737830e-02
4.11787000e+00	2.51931680e+00	1.95714540e-02
4.12784900e+00	2.49328520e+00	1.93249910e-02
4.13782800e+00	2.52876470e+00	1.94442640e-02
4.14780700e+00	2.55111290e+00	1.98036090e-02
4.15778500e+00	2.49268180e+00	1.91341500e-02
4.16776400e+00	2.51721960e+00	1.94182170e-02
4.17774300e+00	2.50700170e+00	3.95771530e+00
4.18772200e+00	2.50389860e+00	3.95526530e+00
4.19770100e+00	2.53612660e+00	3.98063820e+00
4.20768000e+00	2.53450820e+00	1.91805110e-02
4.21765800e+00	2.51260800e+00	1.93818100e-02
4.22763700e+00	2.52922670e+00	1.91446500e-02
4.23761600e+00	2.50739300e+00	3.95802400e+00
4.24759500e+00	2.50606020e+00	3.95697190e+00
4.25757400e+00	2.52693070e+00	3.97341490e+00
4.26755300e+00	2.55597510e+00	3.99618450e+00
4.27753200e+00	2.52386890e+00	3.97100690e+00
4.28751000e+00	2.53335950e+00	3.97846540e+00
4.29748900e+00	2.55352930e+00	3.99427210e+00
4.30746800e+00	2.50519920e+00	3.95629220e+00
4.31744700e+00	2.53203860e+00	1.91042250e-02
4.32742600e+00	2.53130290e+00	1.92161760e-02
4.33740500e+00	2.53653190e+00	1.91324980e-02
4.34738400e+00	2.50923470e+00	1.89232540e-02
4.35736200e+00	2.53522430e+00	1.92677240e-02
4.36734100e+00	2.54009910e+00	1.92061240e-02
4.37732000e+00	2.55666390e+00	1.92185350e-02
4.38729900e+00	2.55083570e+00	1.90113420e-02
4.39727800e+00	2.52859530e+00	1.88579790e-02
4.40725700e+00	2.53952650e+00	1.89563150e-02
4.41723600e+00	2.55063830e+00	1.87521950e-02
4.42721400e+00	2.54803150e+00	1.90697500e-02
4.43719300e+00	2.53455160e+00	1.89279790e-02
4.44717200e+00	2.51384630e+00	1.88171410e-02
4.45715100e+00	2.52264670e+00	3.97004510e+00
4.46713000e+00	2.53589070e+00	3.98045270e+00
4.47710900e+00	2.53734880e+00	1.87512710e-02
4.48708800e+00	2.54869580e+00	1.86515700e-02
4.49706600e+00	2.53366610e+00	1.87558700e-02
4.50704500e+00	2.57699680e+00	1.91459730e-02
4.51702400e+00	2.55163510e+00	1.86373950e-02
4.52700300e+00	2.60847230e+00	1.91110710e-02
4.53698200e+00	2.52718480e+00	3.97361440e+00
4.54696100e+00	2.53751540e+00	3.98172810e+00
4.55694000e+00	2.53743980e+00	3.98166860e+00
4.56691800e+00	2.57295640e+00	1.87801460e-02
4.57689700e+00	2.55522260e+00	1.88493130e-02
4.58687600e+00	2.55910900e+00	1.86179770e-02
4.59685500e+00	2.53314530e+00	1.87325250e-02
4.60683400e+00	2.56925340e+00	1.85579800e-02
4.61681300e+00	2.55427900e+00	1.88005370e-02
4.62679100e+00	2.55732960e+00	1.85859590e-02
4.63677000e+00	2.56182780e+00	1.83674120e-02
4.64674900e+00	2.58100430e+00	1.86435270e-02
4.65672800e+00	2.57596080e+00	1.84998310e-02
4.66670700e+00	2.60201690e+00	1.87169570e-02
4.67668600e+00	2.59134260e+00	1.86105150e-02
4.68666500e+00	2.58422780e+00	1.85580570e-02
4.69664300e+00	2.60424430e+00	1.85573990e-02
4.70662200e+00	2.59768670e+00	4.02866030e+00
4.71660100e+00	2.58514130e+00	4.01891980e+00
4.72658000e+00	2.59287350e+00	1.89518490e-02
4.73655900e+00	2.58075020e+00	1.91898210e-02
4.74653800e+00	2.58925730e+00	4.02211810e+00
4.75651700e+00	2.62189690e+00	4.04738950e+00
4.76649500e+00	2.56467190e+00	4.00297730e+00
4.77647400e+00	2.56532850e+00	1.93568830e-02
4.78645300e+00	2.57375300e+00	1.94040070e-02
4.79643200e+00	2.58387990e+00	1.95886670e-02
4.80641100e+00	2.58416480e+00	1.95254920e-02
4.81639000e+00	2.61348850e+00	4.04089420e+00
4.82636900e+00	2.59451710e+00	4.02620120e+00
4.83634700e+00	2.60730190e+00	4.03610900e+00
4.84632600e+00	2.58841800e+00	4.02146640e+00
4.85630500e+00	2.63413920e+00	2.01997180e-02
4.86628400e+00	2.62233720e+00	2.00106550e-02
4.87626300e+00	2.64181890e+00	2.01308590e-02
4.88624200e+00	2.60353870e+00	2.03780290e-02
4.89622100e+00	2.57760580e+00	2.04375780e-02
4.90619900e+00	2.58899130e+00	2.06254090e-02
4.91617800e+00	2.66166110e+00	2.08967640e-02
4.92615700e+00	2.62560830e+00	2.11411900e-02
4.93613600e+00	2.62345720e+00	2.13948770e-02
4.94611500e+00	2.63265590e+00	2.11811530e-02
4.95609400e+00	2.62569580e+00	2.14405590e-02
4.96607300e+00	2.62028620e+00	2.12974650e-02
4.97605100e+00	2.61472610e+00	2.15145140e-02
4.98603000e+00	2.62996930e+00	2.15466720e-02
4.99600900e+00	2.61017750e+00	2.15592300e-02
5.00598800e+00	2.63361980e+00	2.19245740e-02
5.01596700e+00	2.63794370e+00	2.16670720e-02
5.02594600e+00	2.62705590e+00	2.17813610e-02
