q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,PEG20k_20p0wt_merged_nmA.dat_00001_[nmA(PEG20k_20p0wt_merged.dat_00001_[merged(PEG_PEG20k_20p0wt_1621_noT_sub_mult_mult_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_1621_noT_sub_mult_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_1621_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_1621_noT_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)]*0.5800)]-PEG_Water_1621_noT_sub_mult.dat_00001_[mult(PEG_Water_1621_noT_sub.dat_00001_[sub(PEG_Water_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)])]PEG_PEG20k_20p0wt_300_noT_sub_mult_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_300_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_300_noT_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])]*0.5000)]-PEG_Water_300_noT_sub.dat_00001_[sub(PEG_Water_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])])],scale_low,lq=0.4438,hq=0.7171)])],1,0.0050)	error
1.15939100e-01	5.68829500e-04	1.06196868e-04
1.17084200e-01	7.04985500e-04	1.04602653e-04
1.18229300e-01	6.98254000e-04	1.02574852e-04
1.19374400e-01	6.41699000e-04	1.03672950e-04
1.20519500e-01	6.74425500e-04	1.06509538e-04
1.21664600e-01	5.98258000e-04	1.02259467e-04
1.22809700e-01	6.08485500e-04	1.00782688e-04
1.23954800e-01	3.72373230e-04	1.08743971e-04
1.25099900e-01	6.87837010e-04	1.00925334e-04
1.26245000e-01	4.65371480e-04	1.06909148e-04
1.27390100e-01	3.44238250e-04	1.03338177e-04
1.28535200e-01	7.98987990e-04	9.83578480e-05
1.29680300e-01	5.53441110e-04	9.72010904e-05
1.30825400e-01	5.76232390e-04	1.01092295e-04
1.31970500e-01	6.80251900e-04	9.83566478e-05
1.33115600e-01	2.74338000e-04	1.01161064e-04
1.34260700e-01	6.47697000e-04	1.00608314e-04
1.35405800e-01	2.94398770e-04	1.02550268e-04
1.36550900e-01	5.80854730e-04	9.63582515e-05
1.37695900e-01	5.99977500e-04	9.92219534e-05
1.38841000e-01	5.90963660e-04	9.78721763e-05
1.39986100e-01	5.33361000e-04	9.67762995e-05
1.41131200e-01	4.71394500e-04	9.69967543e-05
1.42276300e-01	5.81836000e-04	9.49694815e-05
1.43421400e-01	5.56396500e-04	9.41191440e-05
1.44566500e-01	5.45184000e-04	9.90159128e-05
1.45711600e-01	3.84569970e-04	9.81296437e-05
1.46856700e-01	2.73282790e-04	9.70155394e-05
1.49146900e-01	5.03948010e-04	5.49512387e-05
1.52582200e-01	4.49984440e-04	5.38012261e-05
1.56017500e-01	4.87670037e-04	5.42594914e-05
1.59452800e-01	4.40667407e-04	5.23835105e-05
1.62888000e-01	3.64362833e-04	5.31593495e-05
1.66323300e-01	5.00449890e-04	5.16814132e-05
1.69758600e-01	4.52787393e-04	5.07884950e-05
1.73193900e-01	4.45851870e-04	5.05618913e-05
1.76629200e-01	3.35361847e-04	5.06359017e-05
1.80064500e-01	3.27252573e-04	4.99355734e-05
1.83499700e-01	3.83831340e-04	4.93941943e-05
1.86935000e-01	3.33190200e-04	4.97756181e-05
1.90370300e-01	3.22165330e-04	4.86869433e-05
1.93805600e-01	4.07279993e-04	4.76122873e-05
1.97240900e-01	4.40521627e-04	4.76935909e-05
2.01821300e-01	3.83929992e-04	3.56469492e-05
2.07546700e-01	3.54004832e-04	3.58385980e-05
