q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_frames_005_350_sub.dat_00001_[sub(Lyso_Lyso_4_frames_005_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
2.20193000e-01	7.05198900e-01	6.70651270e+00
2.21190900e-01	9.78440700e-01	2.04186314e-01
2.22188800e-01	1.28936590e+00	2.10329723e-01
2.23186700e-01	7.77996800e-01	1.96399430e-01
2.24184500e-01	7.33117500e-01	1.93640321e-01
2.25182400e-01	1.15543390e+00	2.06920886e-01
2.26180300e-01	1.10934380e+00	2.03400802e-01
2.27178200e-01	1.13857370e+00	2.04008489e-01
2.28176100e-01	8.96735700e-01	1.97257564e-01
2.29174000e-01	1.32876240e+00	2.07295502e-01
2.30171900e-01	1.00026220e+00	1.98227760e-01
2.31169700e-01	7.82029200e-01	1.92177403e-01
2.32167600e-01	9.17682900e-01	1.96536417e-01
2.33165500e-01	1.00920470e+00	1.98711858e-01
2.34163400e-01	8.42512300e-01	1.91918506e-01
2.35161300e-01	1.01670400e+00	1.98758067e-01
2.36159200e-01	9.02955400e-01	1.94936874e-01
2.37157100e-01	9.04681700e-01	1.94597591e-01
2.38154900e-01	7.94874400e-01	1.92207006e-01
2.39152800e-01	7.92661200e-01	1.87995347e-01
2.40150700e-01	7.34280500e-01	1.87995113e-01
2.41148600e-01	1.02252270e+00	1.96170446e-01
2.42146500e-01	4.89860200e-01	1.80091653e-01
2.43144400e-01	8.21836300e-01	1.89861970e-01
2.44142300e-01	8.48261200e-01	1.89246085e-01
2.45140100e-01	7.39079100e-01	1.89070750e-01
2.46138000e-01	9.60640300e-01	1.91658596e-01
2.47135900e-01	9.67743100e-01	1.93441355e-01
2.48133800e-01	8.11232000e-01	1.87900500e-01
2.49131700e-01	6.38249300e-01	1.80799971e-01
2.50129600e-01	8.78021000e-01	1.89987386e-01
2.51127500e-01	1.01772350e+00	1.92727144e-01
2.52125300e-01	8.90162500e-01	6.78831118e+00
2.53123200e-01	7.64700800e-01	6.68338801e+00
2.54121100e-01	4.44279100e-01	1.76291917e-01
2.55119000e-01	4.69461200e-01	1.76621249e-01
2.56116900e-01	1.03958790e+00	1.90138134e-01
2.57114800e-01	1.06007990e+00	1.90862166e-01
2.58112700e-01	8.08036900e-01	1.85012031e-01
2.59110500e-01	7.54943300e-01	1.80825238e-01
2.60108400e-01	7.88968300e-01	1.82515994e-01
2.61106300e-01	5.85820600e-01	3.94756905e+00
2.62104200e-01	8.19409600e-01	3.90703351e+00
2.63102100e-01	6.04862800e-01	3.98680532e+00
2.64100000e-01	1.01652610e+00	1.86744527e-01
2.65097800e-01	6.80843600e-01	1.77809026e-01
2.66095700e-01	6.92642800e-01	1.79187674e-01
2.67093600e-01	6.83447300e-01	1.79031151e-01
2.68091500e-01	1.07929130e+00	1.86713800e-01
2.69089400e-01	1.42218970e+00	2.00294569e-01
2.70087300e-01	6.40433000e-01	1.75911031e-01
2.71085200e-01	8.72833200e-01	6.73553095e+00
2.72083000e-01	5.94830400e-01	6.54067712e+00
2.73080900e-01	9.32489700e-01	6.73970014e+00
2.74078800e-01	6.75401900e-01	1.76196096e-01
2.75076700e-01	7.04218700e-01	6.61422833e+00
2.76074600e-01	6.71606500e-01	6.64758843e+00
2.77072500e-01	5.41263700e-01	1.71629543e-01
2.78070400e-01	5.86973900e-01	1.70153869e-01
2.79068200e-01	5.02835200e-01	1.70315691e-01
2.80066100e-01	6.45893000e-01	1.72597216e-01
2.81064000e-01	8.59797700e-01	1.77462916e-01
2.82061900e-01	7.78247900e-01	1.76604568e-01
2.83059800e-01	8.16819500e-01	1.74520258e-01
2.84057700e-01	7.05535700e-01	1.73772496e-01
2.85055600e-01	4.92998400e-01	3.97825645e+00
2.86053400e-01	6.63383500e-01	3.96133480e+00
2.87051300e-01	8.71251200e-01	6.76419592e+00
2.88049200e-01	7.05762000e-01	6.60843965e+00
2.89047100e-01	8.71374700e-01	6.75582523e+00
2.90045000e-01	9.74220300e-01	6.80093835e+00
2.91042900e-01	9.54953800e-01	6.78540597e+00
2.92040800e-01	7.50659700e-01	1.71554744e-01
2.93038600e-01	7.55529900e-01	1.71084735e-01
2.94036500e-01	8.94383400e-01	1.74840234e-01
2.95034400e-01	5.15156600e-01	1.63875219e-01
2.96032300e-01	9.93664900e-01	1.77628233e-01
2.97030200e-01	6.16483600e-01	1.67509328e-01
2.98028100e-01	7.02581400e-01	1.69381185e-01
2.99026000e-01	6.34387700e-01	1.68315317e-01
3.00023800e-01	7.19401500e-01	1.66817792e-01
3.01021700e-01	8.19847000e-01	1.73613180e-01
3.02019600e-01	5.52136300e-01	3.94439565e+00
3.03017500e-01	5.27393100e-01	3.92617599e+00
3.04015400e-01	6.52672500e-01	6.61222308e+00
3.05013300e-01	1.12395460e+00	6.91553212e+00
3.06011100e-01	8.46301500e-01	3.92202081e+00
3.07009000e-01	9.07662700e-01	6.78869031e+00
3.08006900e-01	9.35222000e-01	6.77419127e+00
3.09004800e-01	5.80256100e-01	3.92754615e+00
3.10002700e-01	7.24143100e-01	3.91778310e+00
3.11000600e-01	1.16799020e+00	3.95912032e+00
3.11998500e-01	8.82277600e-01	1.69006137e-01
3.12996300e-01	6.95642800e-01	1.66244182e-01
3.13994200e-01	7.05109200e-01	1.64813848e-01
3.14992100e-01	1.08675000e+00	1.73463110e-01
3.15990000e-01	6.57634800e-01	1.64487533e-01
3.16987900e-01	1.16021960e+00	6.92008270e+00
3.17985800e-01	8.85840100e-01	6.76964143e+00
3.18983700e-01	1.14060700e+00	1.74005911e-01
3.19981500e-01	7.92073900e-01	1.66176657e-01
3.20979400e-01	4.99230700e-01	1.60128372e-01
3.21977300e-01	7.71294100e-01	1.63280551e-01
