q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_000_350_sub.dat_00001_[sub(Lyso_Lyso_4_000_350.dat_00001_[]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
3.71871600e-01	8.57831700e-01	3.51385269e-02
3.72869500e-01	7.83977700e-01	3.45009321e-02
3.73867400e-01	7.90331200e-01	3.48552493e-02
3.74865200e-01	7.74357400e-01	3.43717245e-02
3.75863100e-01	8.54087300e-01	6.74244138e+00
3.76861000e-01	8.34250000e-01	6.75045956e+00
3.77858900e-01	8.23177800e-01	6.73373368e+00
3.78856800e-01	7.92664400e-01	3.48372816e-02
3.79854700e-01	8.71486800e-01	3.40644940e-02
3.80852500e-01	8.21577500e-01	6.71441156e+00
3.81850400e-01	7.72178000e-01	6.69811986e+00
3.82848300e-01	8.10444800e-01	3.42305394e-02
3.83846200e-01	9.14999300e-01	6.73015353e+00
3.84844100e-01	8.12135000e-01	6.73532234e+00
3.85842000e-01	7.95756800e-01	3.42072323e-02
3.86839900e-01	8.25565400e-01	3.42452146e-02
3.87837700e-01	8.49541200e-01	3.42849768e-02
3.88835600e-01	8.79520900e-01	3.42654972e-02
3.89833500e-01	8.02553700e-01	3.94432066e+00
3.90831400e-01	8.16361400e-01	3.95136347e+00
3.91829300e-01	8.00421300e-01	3.37062548e-02
3.92827200e-01	7.73542800e-01	3.36848072e-02
3.93825100e-01	8.62015000e-01	3.36788368e-02
3.94822900e-01	8.22618100e-01	3.37155932e-02
3.95820800e-01	8.48463500e-01	3.39895711e-02
3.96818700e-01	8.53603500e-01	3.36162908e-02
3.97816600e-01	8.00808800e-01	3.38632893e-02
3.98814500e-01	8.75007500e-01	6.77773646e+00
3.99812400e-01	7.99303600e-01	6.74493567e+00
4.00810300e-01	8.53338700e-01	3.35666022e-02
4.01808100e-01	7.96155400e-01	3.37143078e-02
4.02806000e-01	8.02347300e-01	3.37506653e-02
4.03803900e-01	7.45987800e-01	3.33656930e-02
4.04801800e-01	7.36595300e-01	3.35385888e-02
4.05799700e-01	7.60380700e-01	6.72188673e+00
4.06797600e-01	7.97020100e-01	6.79413733e+00
4.07795500e-01	8.35124600e-01	6.75723632e+00
4.08793300e-01	7.95078200e-01	6.77371606e+00
4.09791200e-01	8.42932700e-01	3.35425093e-02
4.10789100e-01	8.02499700e-01	3.30396179e-02
4.11787000e-01	8.11668200e-01	3.32479669e-02
4.12784900e-01	8.36676800e-01	3.31015453e-02
4.13782800e-01	7.65896300e-01	3.28258098e-02
4.14780700e-01	8.13887100e-01	3.37052465e-02
4.15778500e-01	8.74724200e-01	3.28917233e-02
4.16776400e-01	7.80305400e-01	3.30279013e-02
4.17774300e-01	8.36568300e-01	6.75461512e+00
4.18772200e-01	8.20818400e-01	6.74066076e+00
4.19770100e-01	7.41985400e-01	6.72459989e+00
4.20768000e-01	8.17196800e-01	3.27847495e-02
4.21765800e-01	8.00260000e-01	3.31738954e-02
4.22763700e-01	7.47009300e-01	3.25123921e-02
4.23761600e-01	8.05244000e-01	3.95811310e+00
4.24759500e-01	8.08432800e-01	3.95705967e+00
4.25757400e-01	8.41730300e-01	3.97350439e+00
4.26755300e-01	7.99762900e-01	6.78526654e+00
4.27753200e-01	7.76377100e-01	6.73364616e+00
4.28751000e-01	7.59031500e-01	6.73282259e+00
4.29748900e-01	7.34394700e-01	6.73920576e+00
4.30746800e-01	8.48481800e-01	6.76048566e+00
4.31744700e-01	7.92251400e-01	3.25681082e-02
4.32742600e-01	7.61380100e-01	3.25135205e-02
4.33740500e-01	7.96123100e-01	3.24124122e-02
4.34738400e-01	7.88425300e-01	3.21195728e-02
4.35736200e-01	7.64970700e-01	3.24538601e-02
4.36734100e-01	7.52535900e-01	3.25000697e-02
4.37732000e-01	7.11553100e-01	3.22836833e-02
4.38729900e-01	7.35228300e-01	3.21124534e-02
4.39727800e-01	8.08676700e-01	3.19679177e-02
4.40725700e-01	7.67889500e-01	3.23513693e-02
4.41723600e-01	7.38996700e-01	3.17549310e-02
4.42721400e-01	7.36604500e-01	3.21556735e-02
4.43719300e-01	7.95817400e-01	3.20651808e-02
4.44717200e-01	8.40862700e-01	3.21000298e-02
4.45715100e-01	7.69260300e-01	6.72752829e+00
4.46713000e-01	8.13291300e-01	6.77167706e+00
4.47710900e-01	7.79631200e-01	3.19690770e-02
4.48708800e-01	7.52083200e-01	3.16985401e-02
4.49706600e-01	7.93556900e-01	3.18793037e-02
4.50704500e-01	7.36566200e-01	3.21472022e-02
4.51702400e-01	8.36112900e-01	3.16780468e-02
4.52700300e-01	6.61123700e-01	3.19446384e-02
4.53698200e-01	7.63152200e-01	6.72859012e+00
4.54696100e-01	7.84416600e-01	6.75437501e+00
4.55694000e-01	7.59234200e-01	6.73756481e+00
4.56691800e-01	7.11718600e-01	3.15195069e-02
4.57689700e-01	7.39717400e-01	3.18382830e-02
4.58687600e-01	7.60164000e-01	3.13132072e-02
4.59685500e-01	7.58773700e-01	3.16897300e-02
4.60683400e-01	7.52152600e-01	3.13023296e-02
4.61681300e-01	7.48090000e-01	3.15626412e-02
4.62679100e-01	7.75191400e-01	3.15457143e-02
4.63677000e-01	7.78900200e-01	3.12525984e-02
4.64674900e-01	7.20197700e-01	3.13882121e-02
4.65672800e-01	7.40481200e-01	3.12607237e-02
4.66670700e-01	7.22783100e-01	3.14691791e-02
4.67668600e-01	7.95645400e-01	3.14442132e-02
4.68666500e-01	7.20550200e-01	3.11867776e-02
4.69664300e-01	7.47614700e-01	3.14158955e-02
4.70662200e-01	7.43878300e-01	6.79510536e+00
4.71660100e-01	7.22310700e-01	6.76678549e+00
4.72658000e-01	7.83252500e-01	3.22601411e-02
4.73655900e-01	7.92357800e-01	3.25644231e-02
4.74653800e-01	7.50425700e-01	4.02220322e+00
4.75651700e-01	7.21003100e-01	4.04747321e+00
4.76649500e-01	7.67215100e-01	4.00306589e+00
4.77647400e-01	6.96706500e-01	3.26024389e-02
4.78645300e-01	6.80126000e-01	3.25315202e-02
4.79643200e-01	7.27088100e-01	3.31022940e-02
4.80641100e-01	7.46540200e-01	3.30569597e-02
4.81639000e-01	7.06606500e-01	6.78820928e+00
4.82636900e-01	7.53010900e-01	6.79757900e+00
4.83634700e-01	7.13277100e-01	6.78568177e+00
4.84632600e-01	7.29994000e-01	6.77554995e+00
4.85630500e-01	7.17153800e-01	3.38554715e-02
4.86628400e-01	7.15773800e-01	3.36187175e-02
4.87626300e-01	7.34648100e-01	3.37175128e-02
4.88624200e-01	7.27727300e-01	3.44560791e-02
4.89622100e-01	8.00331200e-01	3.46609923e-02
4.90619900e-01	7.20175700e-01	3.47504312e-02
4.91617800e-01	7.19357900e-01	3.51067906e-02
4.92615700e-01	7.61147700e-01	3.57538601e-02
4.93613600e-01	7.41315800e-01	3.60502545e-02
4.94611500e-01	6.96579100e-01	3.52812072e-02
4.95609400e-01	7.49317200e-01	3.60741755e-02
4.96607300e-01	7.20358800e-01	3.57559533e-02
4.97605100e-01	7.39819900e-01	3.62114359e-02
4.98603000e-01	7.30677700e-01	3.64539216e-02
4.99600900e-01	7.44582500e-01	3.64689751e-02
5.00598800e-01	7.05486200e-01	3.68161365e-02
5.01596700e-01	7.37424300e-01	3.66585901e-02
5.02594600e-01	7.17549100e-01	3.68289824e-02
5.03592400e-01	7.68554900e-01	3.68099065e-02
5.04590300e-01	6.95596200e-01	3.74588259e-02
5.05588200e-01	7.10397600e-01	3.71466957e-02
5.06586100e-01	7.05385500e-01	3.75674822e-02
5.07584000e-01	7.83813100e-01	3.77997672e-02
5.08581900e-01	7.58491700e-01	6.88800340e+00
5.09579800e-01	7.22362300e-01	6.86436241e+00
5.10577600e-01	7.64524000e-01	6.89183349e+00
5.11575500e-01	7.24741800e-01	6.89310112e+00
5.12573400e-01	7.26293800e-01	6.89473608e+00
5.13571300e-01	7.56752700e-01	6.89644160e+00
5.14569200e-01	7.70393700e-01	6.87116461e+00
5.15567100e-01	7.06017300e-01	6.89732769e+00
5.16565000e-01	7.63330200e-01	6.87988958e+00
5.17562800e-01	7.65415100e-01	6.90315300e+00
5.18560700e-01	6.87155400e-01	6.89895687e+00
5.19558600e-01	7.48610600e-01	6.89725168e+00
5.20556500e-01	7.69513200e-01	6.88361322e+00
5.21554400e-01	7.94640000e-01	6.91817422e+00
5.22552300e-01	8.06532100e-01	6.95572581e+00
