q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_4_frames_029_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])	error
1.79279700e+00	2.63584230e+00	2.70901389e-01
1.80277600e+00	2.41592200e+00	2.62718298e-01
1.81275500e+00	2.69188990e+00	2.70278857e-01
1.82273400e+00	1.84349750e+00	2.46780559e-01
1.83271200e+00	2.41603320e+00	7.76683754e+00
1.84269100e+00	2.36708880e+00	7.71669575e+00
1.85267000e+00	2.10665150e+00	7.58008951e+00
1.86264900e+00	1.68318480e+00	7.35040142e+00
1.87262800e+00	2.21975050e+00	2.52431691e-01
1.88260700e+00	1.81617350e+00	2.43137710e-01
1.89258600e+00	2.09872100e+00	2.52747120e-01
1.90256400e+00	1.66775220e+00	7.32201477e+00
1.91254300e+00	1.28841110e+00	7.05478901e+00
1.92252200e+00	1.62283700e+00	2.34583268e-01
1.93250100e+00	1.50537010e+00	2.30280195e-01
1.94248000e+00	1.63821440e+00	2.34165866e-01
1.95245900e+00	1.28176460e+00	2.21262635e-01
1.96243800e+00	1.74652030e+00	2.40038786e-01
1.97241600e+00	1.40435860e+00	2.26692716e-01
1.98239500e+00	1.77379860e+00	2.36891347e-01
1.99237400e+00	1.62003570e+00	2.31703072e-01
2.00235300e+00	1.02849870e+00	2.11834605e-01
2.01233200e+00	1.75581630e+00	2.33955627e-01
2.02231100e+00	1.15760570e+00	2.14431704e-01
2.03229000e+00	1.10558160e+00	2.14259706e-01
2.04226800e+00	1.60487090e+00	2.27753287e-01
2.05224700e+00	1.94745600e+00	2.35435455e-01
2.06222600e+00	1.60871340e+00	2.27632437e-01
2.07220500e+00	1.51793780e+00	2.22819478e-01
2.08218400e+00	1.67648810e+00	2.28350410e-01
2.09216300e+00	1.47916150e+00	2.22803765e-01
2.10214200e+00	1.24111880e+00	2.15557065e-01
2.11212000e+00	1.30445990e+00	2.16185645e-01
2.12209900e+00	1.06302660e+00	2.07340069e-01
2.13207800e+00	1.70254160e+00	2.26290754e-01
2.14205700e+00	1.14079760e+00	6.94460241e+00
2.15203600e+00	1.23571890e+00	6.99605727e+00
2.16201500e+00	1.11224730e+00	2.09763685e-01
2.17199400e+00	1.21762020e+00	7.07227391e+00
2.18197200e+00	1.33373410e+00	7.08210884e+00
2.19195100e+00	1.14423200e+00	6.99304453e+00
2.20193000e+00	1.25593190e+00	7.06486858e+00
2.21190900e+00	1.31636770e+00	2.13611386e-01
2.22188800e+00	1.07302990e+00	2.04390175e-01
2.23186700e+00	1.29696680e+00	2.11087309e-01
2.24184500e+00	1.39351250e+00	2.12169558e-01
2.25182400e+00	1.15543390e+00	2.06920886e-01
2.26180300e+00	1.07522880e+00	2.02444990e-01
2.27178200e+00	1.23963670e+00	2.06771228e-01
2.28176100e+00	1.38633870e+00	2.10915224e-01
2.29174000e+00	6.86326400e-01	1.89355435e-01
2.30171900e+00	9.22341200e-01	1.96027733e-01
2.31169700e+00	1.00383320e+00	1.98474156e-01
2.32167600e+00	7.05657900e-01	1.90421970e-01
2.33165500e+00	1.20882870e+00	2.04206438e-01
2.34163400e+00	1.24245530e+00	2.02868849e-01
2.35161300e+00	1.07181400e+00	2.00280276e-01
2.36159200e+00	1.13272140e+00	2.01281693e-01
2.37157100e+00	1.21103670e+00	2.03027395e-01
2.38154900e+00	9.70578400e-01	1.97162402e-01
2.39152800e+00	8.34731200e-01	1.89168455e-01
2.40150700e+00	1.17906950e+00	2.00418224e-01
2.41148600e+00	8.39866700e-01	1.91102899e-01
2.42146500e+00	1.11553020e+00	1.97656198e-01
2.43144400e+00	1.22672730e+00	2.00902171e-01
2.44142300e+00	1.18442520e+00	1.98357049e-01
2.45140100e+00	5.88657100e-01	1.84747261e-01
2.46138000e+00	7.73522300e-01	1.86514950e-01
2.47135900e+00	9.14783100e-01	1.91985982e-01
2.48133800e+00	6.01621000e-01	1.81960800e-01
2.49131700e+00	1.11957630e+00	1.93953368e-01
2.50129600e+00	7.73704000e-01	1.87101599e-01
2.51127500e+00	1.06910550e+00	1.94092155e-01
