q[nm-1]	I(q)[sr-1]_LUV_SDD_700_mult_sub_nmA_rebin_ave.h5_00001_[|]	error
2.00794300e-01	4.59338167e-02	7.41881163e-02
2.05648100e-01	4.46636156e-02	1.00814116e-01
2.10501900e-01	3.86825156e-02	7.43212990e-02
2.15355600e-01	4.35963978e-02	8.00363201e-02
2.20209400e-01	4.05053400e-02	6.81847332e-02
2.25063200e-01	4.54284944e-02	4.79785486e-02
2.29916900e-01	4.93347456e-02	4.82857567e-02
2.35310000e-01	4.75567055e-02	1.22604329e-01
2.41242400e-01	5.02149309e-02	6.92354566e-02
2.47174800e-01	4.96298018e-02	3.15214754e-03
2.53107200e-01	4.16091191e-02	7.74126605e-02
2.59039600e-01	5.31840255e-02	4.57618273e-02
2.64972000e-01	4.52506409e-02	6.08817892e-02
2.70904400e-01	4.81693000e-02	3.10307951e-03
2.76836700e-01	3.94933045e-02	8.43941082e-02
2.83308400e-01	4.27846700e-02	5.84947616e-02
2.90319400e-01	4.25856138e-02	4.82608693e-02
2.97330500e-01	4.14914292e-02	3.03681235e-03
3.04341500e-01	4.48925892e-02	5.24066955e-02
3.11352500e-01	4.60527131e-02	3.49156178e-02
3.18363500e-01	4.66018754e-02	6.22712773e-02
3.25374500e-01	4.97578546e-02	7.00568526e-02
3.32924800e-01	4.32229480e-02	5.71121818e-02
3.41014400e-01	4.23946973e-02	4.63669333e-02
3.49104000e-01	4.51511353e-02	2.95507153e-02
3.57193600e-01	4.48977520e-02	3.03794469e-02
3.65283300e-01	4.96969647e-02	5.63287084e-02
3.73372900e-01	4.33108887e-02	3.52407473e-02
3.82001800e-01	5.09347994e-02	8.10269042e-02
3.91170100e-01	4.88314135e-02	8.18774261e-02
4.00338300e-01	4.64381865e-02	7.27719933e-02
4.09506500e-01	4.47891012e-02	2.81898652e-03
4.18674800e-01	4.89318894e-02	6.41527540e-02
4.28382300e-01	4.71213516e-02	6.97888830e-02
4.38629200e-01	5.13738037e-02	4.59328829e-02
4.48876000e-01	5.36629579e-02	3.93874585e-02
4.59122900e-01	5.07809737e-02	4.90138765e-02
4.69909000e-01	4.91154367e-02	6.18804365e-02
4.81234500e-01	5.77692100e-02	3.77771341e-02
4.92560000e-01	5.26874914e-02	5.96817027e-02
5.03885400e-01	5.72420995e-02	4.59236231e-02
5.15750200e-01	5.85433309e-02	3.20403476e-03
5.28154300e-01	5.03452300e-02	3.98019769e-03
