q[nm-1]	I(q)[sr-1]_SDS_2wtpc_SDD_1000_mult_sub_nmA_rebin_ave.h5_00001_[|]	error
3.05822700e-01	4.23449163e-02	3.89348959e-02
3.13133800e-01	4.65003121e-02	2.22401186e-02
3.20444800e-01	4.81773232e-02	2.24491442e-03
3.27755900e-01	4.47451074e-02	6.27700606e-02
3.35451700e-01	4.63801714e-02	2.85086822e-02
3.43532400e-01	4.18858714e-02	3.91907395e-02
3.51613000e-01	4.32078443e-02	1.58758857e-02
3.59693600e-01	4.49880457e-02	3.44289747e-02
3.68159000e-01	4.87570031e-02	1.74769258e-02
3.77009200e-01	4.41869894e-02	3.59989424e-03
